 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Hex Nut,TRUE,M3 Hex nut,58,$0.00,$0.00,,https://jlcmc.com/product/s/E04/EMLC/anti-loosening-nut,,,,,,
Hex Nut,FALSE,M3 Hex nut (lock),9,$0.15,$1.38,JLC,https://jlcmc.com/product/s/E04/EMLC/anti-loosening-nut,,,,,,
T Nut,FALSE,M5 T nut,102,$0.06,$6.61,JLC,https://jlcmc.com/product/s/T02/TPAB/m3-m4-m5-roll-in-t-slot-nut-with-ball-spring-for-20-series-aluminum-profiles,,,,,,
T Nut,FALSE,M3 T nut,82,$0.07,$5.39,JLC,https://jlcmc.com/product/s/T02/TPAB/m3-m4-m5-roll-in-t-slot-nut-with-ball-spring-for-20-series-aluminum-profiles,,,,,,
Washer,FALSE,M5,100,$0.00,$0.29,JLC,https://jlcmc.com/product/s/E06/EPDA/flat-washer-level-a,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Electronics,,,,,,,,,,,,,
Mainboard,TRUE,LDO leviathan ,1,,,Sponsored by LDO,,,,,,,
Mainboard,FALSE,LDO leviathan Expansion,1,,,Sponsored by LDO,,,,,,,
SBC,FALSE,RPI 5 1gb,1,$42.99,$42.99,,https://www.microcenter.com/product/704295/raspberry-pi-5,,,,,,
PSU,TRUE,24V 200W,1,,$0.00,,,,,,,,
PSU,FALSE,48V 200W,1,$26.99,$26.99,Filastruder,https://www.filastruder.com/collections/power-supplies/products/meanwell-lrs-200-48-psu,,,,,,
Fans,FALSE,6025 fans,8,$1.70,$13.58,JLC,,,,,,,
Fans,FALSE,6015 fans,2,$6.89,$13.78,,https://www.aliexpress.us/item/2251832744094136.html,,,,,,
Fans,FALSE,8038 fans,2,$2.99,$2.99,Filastruder,https://www.filastruder.com/products/nmb-technologies-08038ra-24s-ea-axial-fan-24vdc-1-75a-42w?_pos=25&_sid=682cf2210&_ss=r,,,,,,
SSR,TRUE,SSR,2,$34.00,$0.00,Free from TE,https://www.te.com/en/product-1-2323802-1.html,,,,,,
Heater,FALSE,PTC Heater,1,$17.90,$17.90,,https://www.amazon.com/Precision-Constant-Temperature-Electric-Humidifier/dp/B07P5NCR2F/,,,,,,
